,Packets Loss,Throughput ,Delay,output
258,100.0,0.167,155.32,0.4
259,100.0,0.231,155.32,0.5
262,100.0,0.447,155.32,0.6
263,100.0,0.447,155.32,0.6
264,100.0,0.222,155.32,0.5
265,100.0,0.486,155.32,0.6
267,100.0,0.486,155.32,0.6
268,100.0,0.012,155.32,0.4
269,100.0,0.222,155.32,0.5
271,100.0,0.311,155.32,0.5
272,100.0,0.178,155.32,0.4
273,100.0,0.447,155.32,0.6
274,100.0,0.355,155.32,0.5
275,100.0,0.231,155.32,0.5
276,100.0,0.414,155.32,0.6
277,100.0,0.407,155.32,0.6
278,100.0,0.213,155.32,0.5
279,100.0,0.224,155.32,0.5
280,100.0,0.447,155.32,0.6
281,100.0,0.439,155.32,0.6
282,100.0,0.447,155.32,0.6
283,100.0,0.447,155.32,0.6
284,100.0,0.329,155.32,0.5
285,100.0,0.27,155.32,0.5
286,100.0,0.213,155.32,0.5
288,100.0,0.447,155.32,0.6
289,100.0,0.439,155.32,0.6
290,100.0,0.439,155.32,0.6
291,100.0,0.439,155.32,0.6
292,100.0,0.414,155.32,0.6
293,100.0,0.447,155.32,0.6
294,100.0,0.407,155.32,0.6
295,100.0,0.224,155.32,0.5
296,100.0,0.414,155.32,0.6
298,100.0,0.233,155.32,0.5
299,100.0,0.213,155.32,0.5
300,100.0,0.447,155.32,0.6
301,100.0,0.447,155.32,0.6
302,100.0,0.447,155.32,0.6
303,100.0,0.213,155.32,0.5
304,100.0,0.447,155.32,0.6
305,100.0,0.213,155.32,0.5
306,100.0,0.222,155.32,0.5
307,100.0,0.213,155.32,0.5
308,100.0,0.231,155.32,0.5
309,100.0,0.233,155.32,0.5
310,100.0,0.231,155.32,0.5
311,100.0,0.254,155.32,0.5
312,100.0,0.407,155.32,0.6
313,100.0,0.447,155.32,0.6
314,100.0,0.447,155.32,0.6
316,100.0,0.222,155.32,0.5
317,100.0,0.198,155.32,0.5
318,100.0,0.233,155.32,0.5
319,100.0,0.407,155.32,0.6
320,100.0,0.233,155.32,0.5
321,100.0,0.476,155.32,0.6
324,100.0,0.447,155.32,0.6
325,100.0,0.215,155.32,0.5
327,100.0,0.213,155.32,0.5
328,100.0,0.447,155.32,0.6
329,100.0,0.315,155.32,0.5
330,100.0,0.19,155.32,0.5
331,100.0,0.183,155.32,0.4
332,100.0,0.486,155.32,0.6
333,100.0,0.407,155.32,0.6
334,100.0,0.447,155.32,0.6
335,100.0,0.203,155.32,0.5
336,100.0,0.222,155.32,0.5
337,100.0,0.414,155.32,0.6
338,100.0,0.407,155.32,0.6
339,100.0,0.213,155.32,0.5
340,100.0,0.233,155.32,0.5
341,100.0,0.486,155.32,0.6
342,100.0,0.486,155.32,0.6
344,100.0,0.183,155.32,0.4
345,100.0,0.447,155.32,0.6
346,100.0,0.233,155.32,0.5
